question_id,category,method,rubric_score,hallucination,gen_latency_s,citation_faithfulness,faithfulness,answer_relevancy,context_precision,context_recall,judge_reasoning,answer
PL_001,product_location,fixed,2,0,1.0227,0.8398,1.0,0.8293,0.5333,1.0,The generated answer is mostly correct but omits the specific location detail of being in the north-west corner of the store.,"Apples can be found in the Fresh Produce Section (ZONE_02), on the display tables."
PL_002,product_location,fixed,3,0,1.3,0.7756,1.0,0.8156,0.6389,1.0,"The generated answer accurately reflects the location of the milk as described in the ground truth, with all relevant details included.","The milk is located in the Dairy Fridge (Fridge 1) in the south-west corner of the store, against the west wall (ZONE_03)."
PL_003,product_location,fixed,2,0,0.9002,0.841,1.0,0.8664,1.0,1.0,"The generated answer is mostly correct but omits the specific detail about the location being on the two bakery shelves in the centre-north area, just south of the barrier dividers.","You can find bread in the Bakery Section (ZONE_04), on the bakery shelves."
PL_004,product_location,fixed,2,0,1.2831,0.7616,1.0,0.9008,0.95,1.0,The generated answer is mostly correct but omits the detail about accessing Shelf 2 via AISLE_02 or AISLE_03.,Pasta is located on Shelf 2 in the Main Shelving Area (ZONE_05).
PL_005,product_location,fixed,3,0,1.3626,0.7266,1.0,0.9625,1.0,1.0,The generated answer accurately reflects the ground truth answer without any omissions or unsupported claims.,"You can find beer in Fridge 2 (ZONE_07), along the south wall."
PL_006,product_location,fixed,3,0,2.4019,0.8182,1.0,0.8576,0.8056,1.0,"The generated answer accurately reflects the location of the ice cream as stated in the ground truth, with all relevant details included.","Ice cream is located in Freezer 2 (ZONE_06), to the east of Freezer 1, in the south-centre of the store."
PL_007,product_location,fixed,3,0,1.1143,0.6783,1.0,0.7923,0.9167,1.0,The generated answer accurately reflects the location of shampoo as stated in the ground truth.,Shampoo is located on Shelf B in the East Shelving Area (ZONE_09).
PL_008,product_location,fixed,3,0,1.4031,0.7261,1.0,0.7991,0.7556,1.0,The generated answer accurately and completely matches the ground truth answer regarding the location of the dry dog food.,The dry dog food is located on Shelf C in the East Shelving Area (ZONE_09).
PL_009,product_location,fixed,3,0,1.0597,0.66,1.0,1.0,0.6389,1.0,"The generated answer accurately states the location of canned tomatoes as Shelf 3 in the Main Shelving Area (ZONE_05), which matches the ground truth.",Canned tomatoes are on Shelf 3 in the Main Shelving Area (ZONE_05).
PL_010,product_location,fixed,3,0,1.6499,0.807,1.0,0.8046,1.0,1.0,The generated answer accurately reflects the ground truth answer with no omissions or inaccuracies.,"The cheese is located in the Dairy Fridge (ZONE_03) in the south-west corner of the store, against the west wall."
PL_011,product_location,fixed,3,0,4.5284,0.7848,1.0,0.7834,0.5889,1.0,"The generated answer is fully correct and complete, matching the ground truth answer exactly.","Frozen pizza is located in Freezer 1 (ZONE_06), in the south-centre of the store."
PL_012,product_location,fixed,3,0,2.3018,0.7831,1.0,0.9357,1.0,1.0,The generated answer accurately and completely matches the ground truth answer regarding the location of the laundry detergent.,The laundry detergent is located on Shelf A in the East Shelving Area (ZONE_09).
PL_013,product_location,fixed,0,0,1.0602,0.5327,1.0,0.0,0.25,0.0,"The generated answer incorrectly states that the context does not provide information about the location of chocolate, while the ground truth specifies its exact location.",The context does not provide information about the location of chocolate in the supermarket.
PL_014,product_location,fixed,3,0,1.4311,0.7728,0.8,0.8594,0.8875,1.0,"The generated answer accurately reflects the location of the yoghurt as stated in the ground truth, with all relevant details included.","The yoghurt is located in the Dairy Fridge (Fridge 1) in the south-west corner of the store, against the west wall (ZONE_03)."
PL_015,product_location,fixed,2,0,1.3388,0.9005,1.0,0.9151,1.0,1.0,The generated answer is mostly correct but omits the detail that the croissants are specifically on the two bakery shelves in the centre-north area of the store.,"You can find croissants in the Bakery Section (ZONE_04), on the bakery shelves."
PL_016,product_location,fixed,3,0,1.6538,0.7788,1.0,0.9178,0.8333,1.0,The generated answer accurately reflects the ground truth answer with no omissions or inaccuracies.,"Toothpaste is located on Shelf B in the East Shelving Area (ZONE_09), which is the middle horizontal shelf accessed via AISLE_05 or AISLE_06."
PL_017,product_location,fixed,3,0,1.8249,0.7505,0.6667,0.9137,0.6792,1.0,The generated answer accurately reflects the location of frozen fish as stated in the ground truth answer.,"Frozen fish is in Freezer 2 (ZONE_06), in the south-centre of the store."
PL_018,product_location,fixed,3,0,1.1219,0.7309,1.0,0.913,0.8042,1.0,The generated answer accurately reflects the location of the rice as stated in the ground truth.,The rice is located on Shelf 2 in the Main Shelving Area (ZONE_05).
