question_id,category,source_entity,method,latency_s,top1_similarity,top1_chunk_id,recall@1,recall@3,recall@5,mrr@1,mrr@3,mrr@5
PL_001,product_location,ZONE_02,fixed,0.387821,0.4447,fixed_031,1.0,1.0,1.0,1.0,1.0,1.0
PL_002,product_location,ZONE_03,fixed,0.076517,0.3824,fixed_032,0.0,1.0,1.0,0.0,0.5,0.5
PL_003,product_location,ZONE_04,fixed,0.021281,0.5156,fixed_031,1.0,1.0,1.0,1.0,1.0,1.0
PL_004,product_location,ITEM_14,fixed,0.020992,0.2991,fixed_034,1.0,1.0,1.0,1.0,1.0,1.0
PL_005,product_location,ITEM_05,fixed,0.021988,0.3537,fixed_034,0.0,1.0,1.0,0.0,0.5,0.5
PL_006,product_location,ITEM_10,fixed,0.021559,0.4083,fixed_032,1.0,1.0,1.0,1.0,1.0,1.0
PL_007,product_location,ITEM_18,fixed,0.07595,0.4693,fixed_035,1.0,1.0,1.0,1.0,1.0,1.0
PL_008,product_location,ITEM_19,fixed,0.021067,0.4032,fixed_030,0.0,1.0,1.0,0.0,0.3333,0.3333
PL_009,product_location,ITEM_15,fixed,0.021633,0.4611,fixed_031,0.0,1.0,1.0,0.0,0.5,0.5
PL_010,product_location,ITEM_04,fixed,0.021701,0.3734,fixed_006,0.0,1.0,1.0,0.0,0.3333,0.3333
PL_011,product_location,ITEM_09,fixed,0.024435,0.5206,fixed_031,0.0,1.0,1.0,0.0,0.5,0.5
PL_012,product_location,ITEM_17,fixed,0.024915,0.5252,fixed_035,1.0,1.0,1.0,1.0,1.0,1.0
PL_013,product_location,ITEM_16,fixed,0.024294,0.3424,fixed_028,0.0,0.0,0.0,0.0,0.0,0.0
PL_014,product_location,ITEM_04,fixed,0.024535,0.4107,fixed_022,0.0,0.0,1.0,0.0,0.0,0.2
PL_015,product_location,ITEM_03,fixed,0.098559,0.5021,fixed_028,0.0,1.0,1.0,0.0,0.5,0.5
PL_016,product_location,ITEM_18,fixed,0.036511,0.3703,fixed_035,1.0,1.0,1.0,1.0,1.0,1.0
PL_017,product_location,ITEM_12,fixed,0.22439,0.445,fixed_031,0.0,0.0,0.0,0.0,0.0,0.0
PL_018,product_location,ITEM_14,fixed,0.031368,0.3259,fixed_034,1.0,1.0,1.0,1.0,1.0,1.0
PL_019,product_location,ITEM_04,fixed,0.043162,0.3255,fixed_031,1.0,1.0,1.0,1.0,1.0,1.0
PL_020,product_location,ITEM_05,fixed,0.022788,0.4066,fixed_032,1.0,1.0,1.0,1.0,1.0,1.0
PL_021,product_location,ITEM_17,fixed,0.022293,0.4529,fixed_035,1.0,1.0,1.0,1.0,1.0,1.0
PL_022,product_location,ITEM_15,fixed,0.022489,0.2987,fixed_005,0.0,0.0,0.0,0.0,0.0,0.0
PL_023,product_location,ITEM_06,fixed,0.063325,0.4992,fixed_028,0.0,0.0,0.0,0.0,0.0,0.0
PL_024,product_location,ITEM_19,fixed,0.021494,0.4004,fixed_029,0.0,0.0,1.0,0.0,0.0,0.25
PL_025,product_location,ITEM_13,fixed,0.06285,0.4493,fixed_032,0.0,0.0,0.0,0.0,0.0,0.0
PL_026,product_location,ITEM_12,fixed,0.021779,0.5504,fixed_031,0.0,0.0,0.0,0.0,0.0,0.0
PL_027,product_location,ITEM_14,fixed,0.024456,0.4393,fixed_028,0.0,1.0,1.0,0.0,0.3333,0.3333
PL_028,product_location,ITEM_18,fixed,0.065917,0.3898,fixed_035,1.0,1.0,1.0,1.0,1.0,1.0
PL_029,product_location,ITEM_07,fixed,0.021713,0.5986,fixed_031,0.0,0.0,0.0,0.0,0.0,0.0
PL_030,product_location,ITEM_06,fixed,0.021486,0.3797,fixed_031,0.0,0.0,0.0,0.0,0.0,0.0
ZI_001,zone_identification,ZONE_02,fixed,0.059867,0.6115,fixed_002,1.0,1.0,1.0,1.0,1.0,1.0
ZI_002,zone_identification,ZONE_05,fixed,0.026604,0.6182,fixed_030,0.0,1.0,1.0,0.0,0.3333,0.3333
ZI_003,zone_identification,ZONE_06,fixed,0.021699,0.564,fixed_030,1.0,1.0,1.0,1.0,1.0,1.0
ZI_004,zone_identification,ZONE_09,fixed,0.019286,0.6107,fixed_030,1.0,1.0,1.0,1.0,1.0,1.0
ZI_005,zone_identification,ZONE_08,fixed,0.019799,0.6116,fixed_002,0.0,1.0,1.0,0.0,0.5,0.5
ZI_006,zone_identification,ZONE_07,fixed,0.020265,0.6372,fixed_032,1.0,1.0,1.0,1.0,1.0,1.0
ZI_007,zone_identification,ZONE_05,fixed,0.019646,0.5966,fixed_035,0.0,0.0,1.0,0.0,0.0,0.25
ZI_008,zone_identification,ZONE_04,fixed,0.021035,0.4257,fixed_040,1.0,1.0,1.0,1.0,1.0,1.0
ZI_009,zone_identification,ZONE_06,fixed,0.020588,0.6011,fixed_030,1.0,1.0,1.0,1.0,1.0,1.0
ZI_010,zone_identification,ZONE_09,fixed,0.019927,0.6166,fixed_030,1.0,1.0,1.0,1.0,1.0,1.0
ZI_011,zone_identification,ZONE_03,fixed,0.019697,0.6003,fixed_002,0.0,0.0,1.0,0.0,0.0,0.2
ZI_012,zone_identification,AISLE_07,fixed,0.021298,0.5462,fixed_014,0.0,1.0,1.0,0.0,0.5,0.5
ZI_013,zone_identification,ZONE_09,fixed,0.025664,0.5107,fixed_008,1.0,1.0,1.0,1.0,1.0,1.0
ZI_014,zone_identification,ZONE_07,fixed,0.02031,0.6433,fixed_032,1.0,1.0,1.0,1.0,1.0,1.0
ZI_015,zone_identification,ZONE_05,fixed,0.027097,0.4961,fixed_019,1.0,1.0,1.0,1.0,1.0,1.0
ZI_016,zone_identification,AISLE_01,fixed,0.025519,0.5652,fixed_014,0.0,0.0,1.0,0.0,0.0,0.2
ZI_017,zone_identification,ZONE_05,fixed,0.020828,0.6102,fixed_035,0.0,1.0,1.0,0.0,0.3333,0.3333
ZI_018,zone_identification,FEAT_03,fixed,0.021424,0.1099,fixed_011,1.0,1.0,1.0,1.0,1.0,1.0
ZI_019,zone_identification,ZONE_05,fixed,0.019795,0.6136,fixed_030,0.0,1.0,1.0,0.0,0.3333,0.3333
ZI_020,zone_identification,ZONE_09,fixed,0.025888,0.6437,fixed_011,1.0,1.0,1.0,1.0,1.0,1.0
ZI_021,zone_identification,FEAT_01,fixed,0.019678,0.1279,fixed_005,0.0,0.0,0.0,0.0,0.0,0.0
